Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
Fiesta de la Tradición,Desfile de gauchos en San Antonio de Areco.,Cultura,-34.2443,-59.4746,10/11/2025
Corte de agua,Rotura de acueducto deja sin servicio a barrios de Santa Rosa.,Servicios,-36.6167,-64.2833,08/12/2025
Fuego forestal,Quema de pastizales cerca de ruta nacional en La Rioja.,Incendio forestal,-29.4131,-66.8558,07/12/2025
Turismo masivo,Ocupación hotelera plena en El Calafate por fin de semana largo.,Turismo,-50.3379,-72.2648,08/12/2025
Procesión religiosa,Miles de fieles caminan hacia la Virgen del Valle.,Eventos,-28.4696,-65.7852,08/12/2025
Avistaje de ballenas,Temporada récord de ballenas en Puerto Madryn.,Naturaleza,-42.7692,-65.0385,05/12/2025
Demora en el puente,Accidente leve genera filas en el Puente Zárate-Brazo Largo.,Tránsito,-34.1000,-59.0000,09/12/2025
Robo en comercio,Asalto a mano armada en kiosco céntrico de Berazategui.,Inseguridad,-34.7633,-58.2117,06/12/2025
Congreso gastronómico,Feria internacional de cocina en Lima Perú.,Eventos,-12.0464,-77.0428,05/12/2025
Huracán leve,Vientos fuertes y lluvia intensa en la costa de Miami.,Clima,25.7617,-80.1918,04/12/2025
