Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
Robo en la playa,Sustracción de mochila a turistas en zona de Playa Grande.,Inseguridad,-38.0283,-57.5315,04/12/2025
Choque múltiple,Colisión entre tres vehículos en acceso norte a San Miguel de Tucumán.,Tránsito,-26.8083,-65.2176,03/12/2025
Calles anegadas,Lluvia intensa provoca inundaciones en centro de Resistencia.,Clima,-27.4606,-58.9839,02/12/2025
Luminaria fuera de servicio,Poste de luz apagado hace una semana en calle principal de Lanús.,Infraestructura,-34.7053,-58.3917,01/12/2025
Árbol peligroso,Árbol con raíces levantando la vereda y riesgo de caída en San Isidro.,Infraestructura,-34.4700,-58.5200,05/12/2025
Bache profundo,Cráter en la avenida interrumpe el paso de colectivos en Neuquén capital.,Vialidad,-38.9516,-68.0591,30/11/2025
Fiesta del Chocolate,Evento gastronómico en el Centro Cívico con gran concurrencia.,Eventos,-41.1335,-71.3103,06/12/2025
Manifestación en Obelisco,Corte total de 9 de Julio por reclamo salarial.,Protesta,-34.6037,-58.3816,04/12/2025
Basural a cielo abierto,Acumulación de residuos en esquina baldía de Quilmes.,Higiene,-34.7200,-58.2600,03/12/2025
Sismo leve,Temblor percibido en edificios altos de Santiago de Chile.,Sismo,-33.4489,-70.6693,05/12/2025
