Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
Corte de luz,Apagón masivo en el barrio de Flores por explosión de transformador.,Servicios,-34.6200,-58.4400,01/12/2025
Protesta sindical,Manifestación obstruyendo media calzada en zona céntrica.,Tránsito,-34.6037,-58.3816,02/12/2025
Robo de cables,Sustracción de cables de telefonía en La Plata.,Inseguridad,-34.9214,-57.9545,30/11/2025
Incendio de pastizales,Fuego descontrolado cerca de la ruta en Córdoba capital.,Ambiente,-31.4201,-64.1888,28/11/2025
Derrumbe de mampostería,Caída de mampostería en edificio antiguo de Congreso.,Infraestructura,-34.6100,-58.3900,03/12/2025
Ruidos molestos,Música alta hasta la madrugada en Rosario centro.,Convivencia,-32.9468,-60.6393,29/11/2025
Venta ambulante,Puestos bloqueando el paso peatonal en estación Ramos Mejía.,Comercio,-34.6500,-58.5500,01/12/2025
Caño roto,Pérdida de agua potable inunda la vereda en ciudad de Mendoza.,Infraestructura,-32.8908,-68.8272,25/11/2025
Graffitis en frente,Pintadas políticas en frente de casa particular en Caballito.,Vandalismo,-34.6000,-58.4500,26/11/2025
Evento en la costa,Festival de música en la rambla de Montevideo.,Eventos,-34.9011,-56.1645,02/12/2025
