Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
Sismo moderado,Temblor de 4.5 grados sentido en la capital sanjuanina.,Sismo,-31.5375,-68.5364,07/12/2025
Crecida del río,Alerta por altura del río Iguazú en zona de cataratas.,Clima,-25.6953,-54.4367,06/12/2025
Nevada intensa,Nieve fuera de temporada bloquea camino al glaciar en Ushuaia.,Clima,-54.8019,-68.3030,05/12/2025
Fiesta del Carnaval,Comparsas desfilando en el corsódromo de Gualeguaychú.,Eventos,-33.0094,-58.5173,07/12/2025
Desmoronamiento,Caída de piedras interrumpe el paso en ruta a Cafayate.,Vialidad,-26.0733,-65.9760,04/12/2025
Choque en el centro,Accidente leve entre taxi y particular en el Obelisco.,Tránsito,-34.6037,-58.3816,08/12/2025
Incendio de sierras,Foco de incendio controlado en Potrero de los Funes.,Ambiente,-33.2239,-66.2336,02/12/2025
Calor extremo,Temperaturas récord afectan el suministro eléctrico en Formosa.,Clima,-26.1849,-58.1731,06/12/2025
Feria internacional,Encuentro de comercio en Asunción del Paraguay.,Comercio,-25.2637,-57.5759,05/12/2025
Tormenta tropical,Lluvias fuertes en playas de Río de Janeiro.,Clima,-22.9068,-43.1729,07/12/2025
